"V1","Sample IDs","Assay"
"A01","P","Nano"
"A02","A","Nano"
"A03","A","Nano"
"A04","A","Nano"
"A05","A","Nano"
"A06","B","Nano"
"A07","B","Nano"
"A08","B","Nano"
"A09","B","Nano"
"A10","C","Nano"
"A11","C","Nano"
"A12","C","Nano"
"B01","P","Nano"
"B02","A","Nano"
"B03","A","Nano"
"B04","A","Nano"
"B05","A","Nano"
"B06","B","Nano"
"B07","B","Nano"
"B08","B","Nano"
"B09","B","Nano"
"B10","C","Nano"
"B11","C","Nano"
"B12","C","Nano"
"C01","P","Nano"
"C02","A","Nano"
"C03","A","Nano"
"C04","A","Nano"
"C05","A","Nano"
"C06","B","Nano"
"C07","B","Nano"
"C08","B","Nano"
"C09","B","Nano"
"C10","C","Nano"
"C11","C","Nano"
"C12","C","Nano"
"D01","P","Nano"
"D02","A","Nano"
"D03","A","Nano"
"D04","A","Nano"
"D05","A","Nano"
"D06","B","Nano"
"D07","B","Nano"
"D08","B","Nano"
"D09","B","Nano"
"D10","C","Nano"
"D11","C","Nano"
"D12","C","Nano"
"E01","N","Nano"
"E02","A","Nano"
"E03","A","Nano"
"E04","A","Nano"
"E05","A","Nano"
"E06","B","Nano"
"E07","B","Nano"
"E08","B","Nano"
"E09","B","Nano"
"E10","C","Nano"
"E11","C","Nano"
"E12","C","Nano"
"F01","N","Nano"
"F02","A","Nano"
"F03","A","Nano"
"F04","A","Nano"
"F05","A","Nano"
"F06","B","Nano"
"F07","B","Nano"
"F08","B","Nano"
"F09","B","Nano"
"F10","C","Nano"
"F11","C","Nano"
"F12","C","Nano"
"G01","N","Nano"
"G02","A","Nano"
"G03","A","Nano"
"G04","A","Nano"
"G05","A","Nano"
"G06","B","Nano"
"G07","B","Nano"
"G08","B","Nano"
"G09","B","Nano"
"G10","C","Nano"
"G11","C","Nano"
"G12","C","Nano"
"H01","N","Nano"
"H02","A","Nano"
"H03","A","Nano"
"H04","A","Nano"
"H05","A","Nano"
"H06","B","Nano"
"H07","B","Nano"
"H08","B","Nano"
"H09","B","Nano"
"H10","C","Nano"
"H11","C","Nano"
"H12","C","Nano"
"A01","P","Nano"
"A02","C","Nano"
"A03","D","Nano"
"A04","D","Nano"
"A05","D","Nano"
"A06","D","Nano"
"A07","E","Nano"
"A08","E","Nano"
"A09","E","Nano"
"A10","E","Nano"
"B01","P","Nano"
"B02","C","Nano"
"B03","D","Nano"
"B04","D","Nano"
"B05","D","Nano"
"B06","D","Nano"
"B07","E","Nano"
"B08","E","Nano"
"B09","E","Nano"
"B10","E","Nano"
"C01","P","Nano"
"C02","C","Nano"
"C03","D","Nano"
"C04","D","Nano"
"C05","D","Nano"
"C06","D","Nano"
"C07","E","Nano"
"C08","E","Nano"
"C09","E","Nano"
"C10","E","Nano"
"D01","P","Nano"
"D02","C","Nano"
"D03","D","Nano"
"D04","D","Nano"
"D05","D","Nano"
"D06","D","Nano"
"D07","E","Nano"
"D08","E","Nano"
"D09","E","Nano"
"D10","E","Nano"
"E01","N","Nano"
"E02","C","Nano"
"E03","D","Nano"
"E04","D","Nano"
"E05","D","Nano"
"E06","D","Nano"
"E07","E","Nano"
"E08","E","Nano"
"E09","E","Nano"
"E10","E","Nano"
"F01","N","Nano"
"F02","C","Nano"
"F03","D","Nano"
"F04","D","Nano"
"F05","D","Nano"
"F06","D","Nano"
"F07","E","Nano"
"F08","E","Nano"
"F09","E","Nano"
"F10","E","Nano"
"G01","N","Nano"
"G02","C","Nano"
"G03","D","Nano"
"G04","D","Nano"
"G05","D","Nano"
"G06","D","Nano"
"G07","E","Nano"
"G08","E","Nano"
"G09","E","Nano"
"G10","E","Nano"
"H01","N","Nano"
"H02","C","Nano"
"H03","D","Nano"
"H04","D","Nano"
"H05","D","Nano"
"H06","D","Nano"
"H07","E","Nano"
"H08","E","Nano"
"H09","E","Nano"
"H10","E","Nano"
"A01","P","RT"
"A02","A","RT"
"A03","A","RT"
"A04","A","RT"
"A05","A","RT"
"A06","B","RT"
"A07","B","RT"
"A08","B","RT"
"A09","B","RT"
"A10","C","RT"
"A11","C","RT"
"A12","C","RT"
"B01","P","RT"
"B02","A","RT"
"B03","A","RT"
"B04","A","RT"
"B05","A","RT"
"B06","B","RT"
"B07","B","RT"
"B08","B","RT"
"B09","B","RT"
"B10","C","RT"
"B11","C","RT"
"B12","C","RT"
"C01","P","RT"
"C02","A","RT"
"C03","A","RT"
"C04","A","RT"
"C05","A","RT"
"C06","B","RT"
"C07","B","RT"
"C08","B","RT"
"C09","B","RT"
"C10","C","RT"
"C11","C","RT"
"C12","C","RT"
"D01","P","RT"
"D02","A","RT"
"D03","A","RT"
"D04","A","RT"
"D05","A","RT"
"D06","B","RT"
"D07","B","RT"
"D08","B","RT"
"D09","B","RT"
"D10","C","RT"
"D11","C","RT"
"D12","C","RT"
"E01","N","RT"
"E02","A","RT"
"E03","A","RT"
"E04","A","RT"
"E05","A","RT"
"E06","B","RT"
"E07","B","RT"
"E08","B","RT"
"E09","B","RT"
"E10","C","RT"
"E11","C","RT"
"E12","C","RT"
"F01","N","RT"
"F02","A","RT"
"F03","A","RT"
"F04","A","RT"
"F05","A","RT"
"F06","B","RT"
"F07","B","RT"
"F08","B","RT"
"F09","B","RT"
"F10","C","RT"
"F11","C","RT"
"F12","C","RT"
"G01","N","RT"
"G02","A","RT"
"G03","A","RT"
"G04","A","RT"
"G05","A","RT"
"G06","B","RT"
"G07","B","RT"
"G08","B","RT"
"G09","B","RT"
"G10","C","RT"
"G11","C","RT"
"G12","C","RT"
"H01","N","RT"
"H02","A","RT"
"H03","A","RT"
"H04","A","RT"
"H05","A","RT"
"H06","B","RT"
"H07","B","RT"
"H08","B","RT"
"H09","B","RT"
"H10","C","RT"
"H11","C","RT"
"H12","C","RT"
"A01","P","RT"
"A02","C","RT"
"A03","D","RT"
"A04","D","RT"
"A05","D","RT"
"A06","D","RT"
"A07","E","RT"
"A08","E","RT"
"A09","E","RT"
"A10","E","RT"
"B01","P","RT"
"B02","C","RT"
"B03","D","RT"
"B04","D","RT"
"B05","D","RT"
"B06","D","RT"
"B07","E","RT"
"B08","E","RT"
"B09","E","RT"
"B10","E","RT"
"C01","P","RT"
"C02","C","RT"
"C03","D","RT"
"C04","D","RT"
"C05","D","RT"
"C06","D","RT"
"C07","E","RT"
"C08","E","RT"
"C09","E","RT"
"C10","E","RT"
"D01","P","RT"
"D02","C","RT"
"D03","D","RT"
"D04","D","RT"
"D05","D","RT"
"D06","D","RT"
"D07","E","RT"
"D08","E","RT"
"D09","E","RT"
"D10","E","RT"
"E01","N","RT"
"E02","C","RT"
"E03","D","RT"
"E04","D","RT"
"E05","D","RT"
"E06","D","RT"
"E07","E","RT"
"E08","E","RT"
"E09","E","RT"
"E10","E","RT"
"F01","N","RT"
"F02","C","RT"
"F03","D","RT"
"F04","D","RT"
"F05","D","RT"
"F06","D","RT"
"F07","E","RT"
"F08","E","RT"
"F09","E","RT"
"F10","E","RT"
"G01","N","RT"
"G02","C","RT"
"G03","D","RT"
"G04","D","RT"
"G05","D","RT"
"G06","D","RT"
"G07","E","RT"
"G08","E","RT"
"G09","E","RT"
"G10","E","RT"
"H01","N","RT"
"H02","C","RT"
"H03","D","RT"
"H04","D","RT"
"H05","D","RT"
"H06","D","RT"
"H07","E","RT"
"H08","E","RT"
"H09","E","RT"
"H10","E","RT"
